Date;Open;ln open
07/08/2015;2,83162;1,040848986
08/08/2015;2,79376;1,027388359
09/08/2015;0,706136;-0,347947425
10/08/2015;0,713989;-0,336887723
11/08/2015;0,708087;-0,345188311
12/08/2015;1,05875;0,057088967
13/08/2015;1,22224;0,200685241
14/08/2015;1,81092;0,593835003
15/08/2015;1,80289;0,589390933
16/08/2015;1,68435;0,521379733
17/08/2015;1,58119;0,458177728
18/08/2015;1,2153;0,19499096
19/08/2015;1,16693;0,154376369
20/08/2015;1,25118;0,224087106
21/08/2015;1,47752;0,390365007
22/08/2015;1,39629;0,333818719
23/08/2015;1,375;0,318453731
24/08/2015;1,34559;0,296832579
25/08/2015;1,22861;0,205883449
26/08/2015;1,13279;0,124683616
27/08/2015;1,16981;0,156841342
28/08/2015;1,14766;0,137725087
29/08/2015;1,19353;0,176915303
30/08/2015;1,18299;0,168045132
31/08/2015;1,32138;0,278676645
01/09/2015;1,35348;0,302679053
02/09/2015;1,35157;0,30126688
03/09/2015;1,29519;0,258657403
04/09/2015;1,26493;0,235016785
05/09/2015;1,28056;0,247297482
06/09/2015;1,33801;0,291183436
07/09/2015;1,2959;0,259205434
08/09/2015;1,24665;0,220459954
09/09/2015;1,23935;0,214587049
10/09/2015;1,20761;0,1886432
11/09/2015;1,16497;0,152695336
12/09/2015;0,987228;-0,012854263
13/09/2015;1,04178;0,040930789
14/09/2015;0,940566;-0,061273457
15/09/2015;0,875189;-0,133315416
16/09/2015;0,941977;-0,059774421
17/09/2015;0,906865;-0,097761682
18/09/2015;0,874574;-0,134018368
19/09/2015;0,849603;-0,162986097
20/09/2015;0,881191;-0,126480877
21/09/2015;0,941496;-0,060285179
22/09/2015;0,919337;-0,084102521
23/09/2015;0,90356;-0,101412763
24/09/2015;0,896796;-0,108926868
25/09/2015;0,820031;-0,198413135
26/09/2015;0,73763;-0,304312935
27/09/2015;0,791277;-0,234107183
28/09/2015;0,723715;-0,323357611
29/09/2015;0,579414;-0,545738031
30/09/2015;0,661192;-0,413711012
01/10/2015;0,734307;-0,308828082
